run_id,lr_value,mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path
0xkeryw3,6.98e-06,0.41,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_01_0xkeryw3.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
x72b62yn,7.02e-06,0.71,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_02_x72b62yn.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
f5sw3xgc,1.84e-05,0.87,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_03_f5sw3xgc.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
aayrr1bz,2.50e-05,0.54,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_04_aayrr1bz.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
158x0lsm,1.32e-06,0.30,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_05_158x0lsm.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
mad4t1ay,2.45e-06,0.28,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_06_mad4t1ay.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
