run_id,level,source_csv,lr_value,mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path
afpydt35,hl1,sweep_jepa_pretrain_finetune_hl1.csv,1.48e-05,0.71,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_1.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132108_02_afpydt35.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
e4to66vj,hl1,sweep_jepa_pretrain_finetune_hl1.csv,2.33e-05,0.73,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_1.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132108_05_e4to66vj.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
23pyo0ji,hl2,sweep_jepa_pretrain_finetune_hl2.csv,9.62e-06,0.81,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_2.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132414_06_23pyo0ji.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
m0vfnbxx,hl2,sweep_jepa_pretrain_finetune_hl2.csv,1.58e-06,0.90,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_2.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132414_05_m0vfnbxx.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
6a49x7oo,hl3,sweep_jepa_pretrain_finetune_hl3.csv,2.15e-05,0.80,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_06_6a49x7oo.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
lu732ony,hl3,sweep_jepa_pretrain_finetune_hl3.csv,1.54e-06,0.83,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_01_lu732ony.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
x72b62yn,hl4,sweep_jepa_pretrain_finetune_hl4.csv,7.02e-06,0.71,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_02_x72b62yn.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
f5sw3xgc,hl4,sweep_jepa_pretrain_finetune_hl4.csv,1.84e-05,0.87,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_4.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_133100_03_f5sw3xgc.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
