run_id,lr_value,mask_value,hl_mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path,hl_mask_path
wcp6tblr,2.26e-06,0.41,,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_observation_geometry_1.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_165831_01_wcp6tblr.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.observation_easy.masking_strategy_config.rate,
gud2zuxy,5.38e-06,0.84,,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_observation_geometry_1.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_165831_02_gud2zuxy.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.observation_easy.masking_strategy_config.rate,
