run_id,lr_value,mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path
lu732ony,1.54e-06,0.83,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_01_lu732ony.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
pmxbr5yf,1.42e-06,0.20,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_02_pmxbr5yf.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
197n347r,5.42e-06,0.69,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_03_197n347r.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
bzg30oee,2.05e-05,0.13,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_04_bzg30oee.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
4h3z96t1,2.16e-06,0.89,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_05_4h3z96t1.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
6a49x7oo,2.15e-05,0.80,jepa_pretrain_finetune,./config/week3/config_jepa_frozen_2drope_qkrms_student_healpix_3.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_132742_06_6a49x7oo.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate
