run_id,lr_value,mask_value,hl_mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path,hl_mask_path
riynlkt9,1.39e-05,0.69,1,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_01_riynlkt9.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
4rz9frrk,2.37e-06,0.39,1,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_02_4rz9frrk.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
ljom53de,4.66e-06,0.25,0,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_03_ljom53de.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
a8x0c38j,1.82e-06,0.85,0,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_04_a8x0c38j.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
b3uugenp,1.35e-05,0.50,0,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_05_b3uugenp.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
t0qpicjn,2.10e-05,0.65,2,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_student_cropping.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135546_06_t0qpicjn.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,training_config.model_input.random_easy.masking_strategy_config.hl_mask
