run_id,lr_value,mask_value,hl_mask_value,sweep_name,stage1_config,finetune_config,overlay_config,lr_path,mask_path,hl_mask_path
0be9u7ix,1.12e-06,0.73,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_01_0be9u7ix.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
lblbujsq,3.25e-05,0.72,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_02_lblbujsq.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
5xz4mmbx,2.49e-06,0.39,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_03_5xz4mmbx.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
5anfv0g2,1.50e-05,0.49,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_04_5anfv0g2.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
h053ls66,1.30e-06,0.33,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_05_h053ls66.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
uvtp46wm,3.06e-06,0.77,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_06_uvtp46wm.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
p26dgzib,3.50e-06,0.36,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_07_p26dgzib.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
f14ykaap,3.85e-05,0.55,,jepa_pretrain_finetune,./config/week3/config_jepa_ema_2drope_random.yml,./config/config_jepa_finetuning.yml,./config/sweep_runs/pretrain_finetune_overlay_20260324_135848_08_f14ykaap.yml,training_config.learning_rate_scheduling.lr_max,training_config.model_input.random_easy.masking_strategy_config.rate,
