run_id,lr_max,student_mask_rate,teacher_mask_rate,strategy
26mrg1vi,2.02e-06,0.75,0.97,contained
clnf5li3,2.82e-06,0.61,0.65,contained
79ylcq3w,3.79e-06,0.38,0.84,contained
bmrfsbak,2.93e-06,0.38,0.41,contained
784tg7aw,1.86e-05,0.47,0.70,contained
